feature,importance
Failed_Transaction_Count_7d,0.8103185
Previous_Fraudulent_Activity,0.010938814
is_unusual_hour,0.010658976
IP_Address_Flag,0.01017566
Card_Type,0.010015658
Transaction_Amount,0.00966097
hour_of_day,0.009656444
Account_Balance,0.009638898
Card_Age,0.009611525
Merchant_Category,0.009582221
amount_deviation_ratio,0.009493233
day_of_week,0.009480859
Location,0.009368422
Authentication_Method,0.009229424
Is_Weekend,0.009213615
Transaction_Distance,0.00918092
Daily_Transaction_Count,0.00916116
Avg_Transaction_Amount_7d,0.009128701
Device_Type,0.00884166
is_high_value,0.008478826
Transaction_Type,0.008165354
is_new_device,0.0
